period	release_date_local	time_local	actual	forecast	previous
2009-12	04-01-2010	20:30	55.9	54.0	53.6
2010-01	01-02-2010	20:30	58.4	55.2	54.9
2010-02	01-03-2010	20:30	56.5	58.0	58.4
2010-03	01-04-2010	19:30	59.6	57.0	56.5
2010-04	03-05-2010	19:30	60.4	60.0	59.6
2010-05	01-06-2010	19:30	59.7	58.9	60.4
2010-06	01-07-2010	19:30	56.2	59.0	59.7
2010-07	02-08-2010	19:30	55.5	54.2	56.2
2010-08	01-09-2010	19:30	56.3	53.0	55.5
2010-09	01-10-2010	19:30	54.4	54.5	56.3
2010-10	01-11-2010	19:30	56.9	53.6	54.4
2010-11	01-12-2010	20:30	56.6	56.4	56.9
2010-12	03-01-2011	20:30	57.0	57.3	56.6
2011-01	01-02-2011	20:30	60.8	58.2	58.5
2011-02	01-03-2011	20:30	61.4	60.9	60.8
2011-03	01-04-2011	19:30	61.2	61.0	61.4
2011-04	02-05-2011	19:30	60.4	59.7	61.2
2011-05	01-06-2011	19:30	53.5	57.5	60.4
2011-06	01-07-2011	19:30	55.3	51.5	53.5
2011-07	01-08-2011	19:30	50.9	54.8	55.3
2011-08	01-09-2011	19:30	50.6	48.5	50.9
2011-09	03-10-2011	19:30	51.6	50.5	50.6
2011-10	01-11-2011	19:30	50.8	52.1	51.6
2011-11	01-12-2011	20:30	52.7	51.5	50.8
2011-12	03-01-2012	20:30	53.9	53.2	52.7
2012-01	01-02-2012	20:30	54.1	54.5	53.9
2012-02	01-03-2012	20:30	52.4	54.6	54.1
2012-03	02-04-2012	19:30	53.4	53.0	52.4
2012-04	01-05-2012	19:30	54.8	53.0	53.4
2012-05	01-06-2012	19:30	53.5	53.9	54.8
2012-06	02-07-2012	19:30	49.7	52.0	53.5
2012-07	01-08-2012	19:30	49.8	50.2	49.7
2012-08	04-09-2012	19:30	49.6	50.0	49.8
2012-09	01-10-2012	19:30	51.5	49.7	49.6
2012-10	01-11-2012	19:30	51.7	51.2	51.5
2012-11	03-12-2012	20:30	49.5	51.3	51.7
2012-12	02-01-2013	20:30	50.7	50.3	49.5
2013-01	01-02-2013	20:30	53.1	50.6	50.2
2013-02	01-03-2013	20:30	54.2	52.5	53.1
2013-03	01-04-2013	19:30	51.3	54.2	54.2
2013-04	01-05-2013	19:30	50.7	50.9	51.3
2013-05	03-06-2013	19:30	49.0	50.7	50.7
2013-06	01-07-2013	19:30	50.9	50.5	49.0
2013-07	01-08-2013	19:30	55.4	52.0	50.9
2013-08	03-09-2013	19:30	55.7	54.0	55.4
2013-09	01-10-2013	19:30	56.2	55.0	55.7
2013-10	01-11-2013	19:30	56.4	55.0	56.2
2013-11	02-12-2013	20:30	57.3	55.0	56.4
2013-12	02-01-2014	20:30	57.0	57.0	57.3
2014-01	03-02-2014	20:30	51.3	56.4	57.0
2014-02	03-03-2014	20:30	53.2	52.0	51.3
2014-03	01-04-2014	19:30	53.7	54.0	53.2
2014-04	01-05-2014	19:30	54.9	54.3	53.7
