period	release_date_local	time_local	actual	forecast	previous
2009-12	06-01-2010	20:30	50.1	50.5	48.7
2010-01	03-02-2010	20:30	50.5	51.0	49.8
2010-02	03-03-2010	20:30	53.0	51.0	50.5
2010-03	05-04-2010	19:30	55.4	53.5	53.0
2010-04	05-05-2010	19:30	55.4	56.1	55.4
2010-05	03-06-2010	19:30	55.4	55.5	55.4
2010-06	06-07-2010	19:30	53.8	55.0	55.4
2010-07	04-08-2010	19:30	54.3	53.0	53.8
2010-08	03-09-2010	19:30	51.5	53.2	54.3
2010-09	05-10-2010	19:30	53.2	51.8	51.5
2010-10	03-11-2010	19:30	54.3	53.6	53.2
2010-11	03-12-2010	20:30	55.0	54.5	54.3
2010-12	05-01-2011	20:30	57.1	55.7	55.0
2011-01	03-02-2011	20:30	59.4	57.0	57.1
2011-02	03-03-2011	20:30	59.7	59.7	59.4
2011-03	05-04-2011	19:30	57.3	60.0	59.7
2011-04	04-05-2011	19:30	52.8	57.4	57.3
2011-05	03-06-2011	19:30	54.6	54.0	52.8
2011-06	06-07-2011	19:30	53.3	54.0	54.6
2011-07	03-08-2011	19:30	52.7	53.8	53.3
2011-08	06-09-2011	19:30	53.3	51.0	52.7
2011-09	05-10-2011	19:30	53.0	53.0	53.3
2011-10	03-11-2011	19:30	52.9	53.7	53.0
2011-11	05-12-2011	20:30	52.0	53.4	52.9
2011-12	05-01-2012	20:30	52.6	53.0	52.0
2012-01	03-02-2012	20:30	56.8	53.2	52.6
2012-02	05-03-2012	20:30	57.3	56.1	56.8
2012-03	04-04-2012	19:30	56.0	57.0	57.3
2012-04	03-05-2012	19:30	53.5	55.5	56.0
2012-05	05-06-2012	19:30	53.7	53.5	53.5
2012-06	05-07-2012	19:30	52.1	53.0	53.7
2012-07	03-08-2012	19:30	52.6	52.0	52.1
2012-08	06-09-2012	19:30	53.7	52.5	52.6
2012-09	03-10-2012	19:30	55.1	53.2	53.7
2012-10	05-11-2012	20:30	54.2	54.5	55.1
2012-11	05-12-2012	20:30	54.7	53.5	54.2
2012-12	04-01-2013	20:30	56.1	54.2	54.7
2013-01	05-02-2013	20:30	55.2	55.2	55.7
2013-02	05-03-2013	20:30	56.0	55.0	55.2
2013-03	03-04-2013	19:30	54.4	55.8	56.0
2013-04	03-05-2013	19:30	53.1	54.0	54.4
2013-05	05-06-2013	19:30	53.7	53.5	53.1
2013-06	03-07-2013	19:30	52.2	54.0	53.7
2013-07	05-08-2013	19:30	56.0	53.0	52.2
2013-08	05-09-2013	19:30	58.6	55.0	56.0
2013-09	03-10-2013	19:30	54.4	57.4	58.6
2013-10	05-11-2013	20:30	55.4	54.0	54.4
2013-11	04-12-2013	20:30	53.9	55.0	55.4
2013-12	06-01-2014	20:30	53.0	54.5	53.9
2014-01	05-02-2014	20:30	54.0	53.7	53.0
2014-02	05-03-2014	20:30	51.6	53.5	54.0
2014-03	03-04-2014	19:30	53.1	53.5	51.6
